Date,Price,Open,High,Low,Volume,Chg%,USD,GBP,EURO,Date,Price_Nifty,Open_Nifty,High_Nifty,Low_Nifty,Vol._Nifty,Change %_Nifty,Price_Sensex,Open_Sensex,High_Sensex,Low_Sensex,Vol._Sensex,Change %_Sensex
2019-10-21,37969,38098,38144,37940,10410,-0.4,17.725,13.66,15.88,2019-10-22,"11,588.35","11,657.15","11,714.35","11,573.65",867.60M,-0.63%,"38,963.84","39,233.40","39,426.47","38,924.85",54.47M,-0.85%
2019-10-18,38121,38179,38212,38025,16230,-0.25,17.435,13.53,15.66,2019-10-18,"11,661.85","11,580.30","11,684.70","11,553.15",853.44M,0.65%,"39,298.38","39,087.83","39,361.06","38,963.60",42.37M,0.63%
2019-10-17,38216,38190,38250,38001,20290,-0.08,17.45,13.55,15.7,2019-10-17,"11,586.35","11,466.30","11,599.10","11,439.65",797.57M,1.07%,"39,052.06","38,647.44","39,104.69","38,557.43",47.10M,1.17%
2019-10-16,38248,38175,38271,37980,26510,0.48,17.255,13.52,15.65,2019-10-16,"11,464.00","11,464.95","11,481.05","11,411.10",533.47M,0.31%,"38,598.99","38,637.05","38,666.38","38,416.67",27.52M,0.24%
2019-10-15,38067,38259,38406,38021,23550,-0.48,17.67,13.97,16.04,2019-10-15,"11,428.30","11,360.85","11,462.35","11,342.10",527.40M,0.77%,"38,506.09","38,316.49","38,635.19","38,238.27",26.23M,0.76%
2019-10-14,38250,37795,38286,37757,21990,1.09,17.605,14.02,15.96,2019-10-14,"11,341.15","11,335.90","11,420.45","11,290.05",587.58M,0.32%,"38,214.47","38,208.24","38,513.69","38,066.13",28.53M,0.23%
2019-10-11,37839,38050,38263,37736,27080,-0.74,17.6,14.01,15.95,2019-10-11,"11,305.05","11,257.70","11,362.90","11,189.40",737.80M,0.63%,"38,127.08","37,994.48","38,345.41","37,737.85",39.38M,0.65%
2019-10-10,38120,38400,38434,38030,20640,-0.69,17.75,14.49,16.1,2019-10-10,"11,234.55","11,280.50","11,293.35","11,208.55",562.02M,-0.70%,"37,880.40","38,130.23","38,130.23","37,802.93",27.26M,-0.78%
2019-10-09,38384,38279,38418,38154,20030,0.37,17.78,14.54,16.19,2019-10-09,"11,313.30","11,152.95","11,321.60","11,090.15",741.15M,1.68%,"38,177.95","37,628.05","38,209.84","37,415.83",36.39M,1.72%
2019-10-08,38242,38179,38400,38179,10520,0.7,17.555,14.37,15.97,2019-10-07,"11,126.40","11,196.20","11,233.85","11,112.65",733.20M,-0.43%,"37,531.98","37,853.80","37,919.47","37,480.53",40.41M,-0.38%
2019-10-07,37978,38225,38302,37765,15800,-0.06,17.425,14.14,15.87,2019-10-04,"11,174.75","11,388.45","11,400.30","11,158.35",928.52M,-1.23%,"37,673.31","38,401.49","38,403.54","37,633.36",52.89M,-1.14%
2019-10-04,38002,37948,38215,37879,150,-0.03,17.605,14.27,16.02,2019-10-03,"11,314.00","11,322.25","11,370.40","11,257.35",1.02B,-0.40%,"38,106.87","38,137.87","38,310.93","37,957.56",59.17M,-0.52%
